Page,Tableau,Type,Base Column,Additional Column,Column Index
30,101,One Column,"around the world, across a range of instructional environments, including libraries, museums, independent non profit and for profit organizations, lower education and higher education institutio Educators, teachers, and youth workers have been stressing the positive impact of maker educati on youth , notably they have been underlining the fact that it allows youngsters to grow into responsible consumers, capable of crafting their own technological gadgets instead of just consuming them, that it enable them to connect with school disciplines in such a a way as to make the latter more meaningful, also that it gives them new perspectives on every day experiences by triggering their curiosity for exploring familiar phenomena, as well as less familar ones. Typically, maker education relies on tools such as programming softwares, tailored specifically to suit the needs of youth, electronic prototytping board that allows users to craft ambitious interactive projec cnc machines that enable users to create anything they can think of and design. At the outset of its growth in popularity, maker education promised to democratize access to the discourses of power that accompany becoming a producer of artifacts, especially when those artifacts use twenty-first- century technologies. In fact, maker education is an ofshoot of the maker movement, whose philosophy promotes values such as open source, and participation of all regardless their background or areas of interest. However, contrariwise to these expectations, it appears that mak education tends to exclude minorities and certain groups of people from benefiting from it. For one thing, the tools typically employed in maker education as pedagogical supports, are not generally found to appeal to a female audience, who may be somewhat intimidated by items such as cnc machines and electronic components, or programming softwares. In attempting to democratize maker education and ensuring that all learnes have the opportunity to engage with it, educators an teachers have come up with several strategies. To date, efforts to build girl inclusive maker workshops have largely revolved around two major efforts: (a) keeping male and female youth/children separated in STEM-related classes or clubs and (b) encouraging female youth/children to play with “boys’” toys and tools. Another more promising avenue, and the one we wish to explore with this youth workers training, is the one consisting in rendering the pedagogical supports employed in maker workshops more appealing to female youth. It is believed that e-textil yields the potential to do so. An electronic textile refers to a textile substrate that incorporates capabilities for sensing (biometric or external), communication (usually wireless), power transmission, and interconnection technology to allow sensors or things such as information twisted and incorporate some amount of conductive material (such as strands of silver or stainless steel) to enable electrical conductivity. Research indicates that educational practices embedding e textiles offer opportunities for girls to literally take “hands-on” leadership roles. Ultimately, they garments and accessories embedding technological gadgets such as microcontrollers, sensors an actuators. This should empower them to lead girl inclusive maker workshops in their own professional settings, thus ultimately, contributing to the democratization and further promotion of educatoinal strand. The overall quality of youth work shall also improve via integration of innovativ working methods centered around ICT. The second mobility activity in purposely taking place in Romania, and one of the activites planned in this context is the visit of the village of Calarasi, wher textile factories owned by Western European brands (ex. H&M, Emporio Armani, Max Mara) have been relocating for the past two decades or so. With this action, we will be placing the training course within a broader context. Participants will be able to discover the typical ansewer of the maker and DIY movement to issues pertainting to industrial manufacturing and its curent trends. The ultimate goal is to invite participants to adopt, whenever possible, an holisitc approach to running activities with their target public in the context of youth work, thus attributing them extra sense and meaning ICT. Although they may not have an extensive experience in leading training courses and seminars on these topics, some of their members will nonetheless be able to act as facilitators. Their technica competence and in depth knowledge of the subject matter will prove pivotal at the stage of planning of the project activities, especially the practical hands-on tasks. Moreover, the organizatio is already familiar with public events on digital and maker culture in their country, which might represent opportunities to disseminate the results of the project and enhance visibility of the mobilit activities. Exploring sense is very much active in the field of digital mediation. They have alread with a young audience (on electornic music, on digital arts). Members of exploring sense will be abl to inform the agenda for the two mobilities and suggest facilitatiion stechniques for the practical activities. exploring sense will be able to exchange on good practices and success stories on AND THEIR LEVEL OF RELIABILITY YIA and ActArt have successfully led and/or participated in E project in the past on a variety of different topics. They will be able to support the coordinatin gorganization with logistical and practical matters related to implementaiton of the mobility activites (ex. arrange arrivals/departures of participants, determingin pre arrival preparatory tasks, suggest follow-up activities) . They will also be able to support digijeunes at the stage of recruting participan for the two mobility activites. Their expertise on E+ projects will be something worth sharing wit organization that are newer to this area (ex. exploring sense, Arduino Albania), at some stage durin the training courses. 3) THE LIKELIHOOD THAT THEY WILL BENEFIT FROM THE RESULTS O THE TRAINING, THEIR DISSEMINATION CAPACITY - Horizon Lab and exploring sense and arduino albania, will gain in strength and visibility in the domain in which they operate by cooperatin on an international venture with other organizations active in the field of digital mediation. They will lead future training course targeting youth practitioners. - Exploring sense is planning to launch makerspace in Brighton by the end of 2017; their experinece on this project shall help them with the this intiative shall widen the perspectives for future growth of the makerspace. Conversely, the popularity of the mkarspace shall contirbute to promiting the results of this project. - Arduino Albani unemployment rates. On the other hand, young people generally have higher education diplomas, a very high number of graduates stuends is also resident in that area. Mobility opportunities such as the present KA1 youth workers training are expected to impact the local youth to the extent that it w reactivate them from a professional point of view. Horizon Lab also needs to increase membership and boost participation to its activities; the organization will capitalize on this experience to learn fro more experienced youth work, and to develop their own non-formal learning methodology to improv participation in this mobility project is part of the community's efforts to open up to international cooperations. as a result of this experience, they shall be able to benefit to a greater extent from knowlege on pedagogical aspects of digital mediation (ex. to target widen audience): contact and exchange with the facilitaotrs at the trianing course will inspire them to do so. YIA and ActArt needs to widen their offer in terms of youth work activities, notably by incorporating ICT-based practices.",,1
33,114,One Column,"Creativity and culture ICT - new technologies - digital competences New innovative curricula/educational methods/development of training courses Participants profiles will be very much diversified. There will be experienced youth workers who recognize the importance of engaging in practices involving new technologies but struggle to embrace them, youth workers who are secure about their skills and have experience adapting to ne youth workers who are active users of and already experiment new technologies, interested in sharing new styles of work ; finally pioneers in the use and experimentation of new technologies (especially in the domain of electronic prototyping and computer coding), but lacking sufficient experience and knowledge of youth work to engage in activities with youngsters on the topics they are passionate about. We will also attempt to mix particpants affiliated to maker communities/places both their colleagues who already have a considerable experience in the domain of digital youth work, and from technicians and technology specialists. Participants will not necessarily be recruited from within partner and coordinating organizations. All participating organizations will be able to forward call for participation to their professional networks. Some participants have already been pr selected, notably the facilitators who will be incharge of leading certain activities. Participation will b also open to N.E.E.Ts who are willing to reintegrate the field of youth work or experiment this career for the first time, either as volunteer or employees. In selecting participants, priority will be given to: - youth workers who do not yet possess the necessary skills to tackle topics from the domain of digita science with their public - those struggling to capture youth attention, especially with regards technical educational activities. - those who wish to ensure a longer-term impact of their work on the digital and media education - those who are requested by their organizations/institutions or by partner organizations/institutions to lead activities on digital technologies in the future Each participating organization will issue a call for participants (internal to their organizations as well as within their professional networks, via their wbesite, social networks, e-mail, face to face contacts form set up by the coordinating organization). Additionally, a call for participants will also be published on salto-youth by the coordinating organization, as well as on the on-line platform pages. All applications from propsective candidates will be centralized by the coordianating organization which, aided by inputs from the participating organizations, will operate the final seletion, at least 2 months ahead of the first mobility activity. We will attempt to have the same individuals participate to both mobilty activities. In fact, the two activites are very much connected insofar as one is the logical continuation of the other (whereas the first activity is a focus on e-textile for youth work purposes, the second serves to place this practice within a broader framework of constructivist teaching methods and the maker movement and culture).",,1
35,121,One Column,"For both mobility activities, the minimum age for participants will be 18 years old. there will be no upper age limit. The large age span will guarantee a gap in level of digital competences and familiarity of participants with digital youth work methods and techniques. We will value diversity in terms of age and genre. This said we will encourage partner organizations to recruit female participants, in view of contributing to fighting the stereotype according to which women are less prone to engage in technical disciplines than man. The facilitators will make sure that all participants can make an equal contribution to the training. If need be, they will encourage participants to state their minds openly.",,1
35,122,One Column,"Geographical obstacles Educational difficulties Economic obstacles Social obstacles During the week long training on e-textiles in France, participants are expected to acquire the following skills/ knowledge/ attitudes: - ability to identify how digital technologies can improve qualit of life - understanding which needs can be met with technological responses, and how - computer programming and electronic prototyping - understand how to avoid health-risk related to the use of technology in terms of threats to physical and psychological well-being - be aware of the impact of digital technologies on the environment - solving technical problems (from trouble shooting to solvin more complex problems) - innovative and creative use of technologies - understand where own youth work - support others in the development of their digital competences - be able to demonstrat to young people that they reflect on their own experience with digital technology, thus becoming rea digital rôle models - knowledge and skills necessary to develop user-led and person-centered innovative digital youth work practice - a positive attitude towards ICT-based activities, also conducive to innovating and improving quality of youth work - ability to develop and lead interdisciplinary and girl inclusive workshops on technical subjects - participants will come to appreciate the meaning and scope of constructivists teaching methods As a result of the mobility insights into maker culture and maker communities - ideas for projet-based activities with youth, involving digital fabrication equipment - open up to cross sectoral cooperation within their professional settings, by getting involved in places for the dissemination of digital/maker culture, as well as organizations active in the field of digital mediation. - ability to identify local and national networks for digital/maker culture and exploit the latters for professional purposes (career the textile industry More generally, through group work and collective life participants will acquire : - experience in cooperating among international groups; - knowledge how : taking collective decision - knowledge how : being pro-active within a work-group; - knowledge how : propose solutions to group conflicts; - knowledge how : manage a group LEARNING OUTCOEMS FOR YOUNG PEOPLE (in the long term) Youth workers who take part in the training, as well as other youth workers external to the project but sensitized to its results, shall be able to assist young people in th development of the following knowledge/skills: - a novel vision of objects whereby they can b transformed into something useful even once they have finished serving their original purpose - a penchant for actively constructing with technology rather than just consuming technological product - technical skills related to programming, repurposing objects, DIY techniques, electronics, design , circuitry - soft skills (indulging in participative learning and peer-to-peer learning, team spirit, proble oriented thinking) - ability to appreciate the implications of the maker movement and DIY culture vis vis the manufacture industries (textiles and others) - Being exposed to the parenting of traditional activities with technology-based practice, youth shall gain a penchant for questioning technology an the digital world more confidently. They shall consequently be able to overcome received ideas abo the digital world, its expansion, and its future development and impact on society. - Familiarize with computational thinking. This will help them make light work of difficult problems - development of a maker mindset. Such attitude is expected to bring educational and professional benefits. In fact, a maker mindset empowers young people to perform better in STEM and related disciplines and also in creating their own jobs and occupations, depending on their interests and the emerging needs th see in a rapidly changing society - in the process of creating, youngsters seek information in order t most representative of the day, for example, satisfaction, frustration, motivation, disappointment, et This allows to monitor the emotional response of participants to each activity of the training. - 8 KEY COMPETENCES: we will display 8 posters, one for each key competence mentioned in the Youthpass. Participants will be able to fill in each of these posters individually, at any time during th training. This will give participants enough time to gather their thoughts on the youthpass key competencies that they may acquire during the training. - COMPETENCES TRIANGLE: at the end each activity participants will be required to state which kind of knowledge they have acquired. The instruments to validate knowledge acquired in non-formal educational contexts. This will serve as a auto-evaluation tool for participants, a recognition of the work they will have accomplished. It will al guarantee the sustainability of the project results. The digital badges will gather some of the conten that will have been developed during the activities and will put this into the form of a user-friendly an accessible online tools for improving one's own skills on the topics of the project. Digital badges will anyone, provided only a free registration. Participants will rely on a canvass delivered by the coordinating organization to produce the digital badge. Thus, no programming nor web design skill will be required. The digital badges produced at the end of the mobility activity in France will be culture more generally. - KAHOOT QUIZZ: kahoot quizzes are interactive quizzes hosted on an on- line platform. They allow an indefinite number of people to take part to the quizz simultaneously, at any time, and regardless spatial constraints (people can simply access the quizz provided they are connected to the net. Participants will be invited to produce collectively a kahoot quizz at the end of most modules of the project activities. The quizz will focus on the content of the module and serve a an auto-evaluation tool. The quizzes will not undergo extended dissemination but will remain available for internal purposes. - WORD CLOUDS: word clouds will allow participants to resume th feelings, state of minds, or other items relevant to the project activities. Participants will be invited t create an on-line word cloud per day. The word clouds will not undergo extended dissemination but will remain available for internal purposes; among other things, they will provide a day-by-day evaluation of project activities by participants. - throughout the training, participants will engage in t crating of physical items combining textiles and electornics (the e-textiles).The process of creation, in itself a way of evaluating participants learning process. Participants will need to troubleshoot textiles targeting a young audience. By moving from design to production, testing and finalizing thei product, they will be able to identify issues that may jeopardise the successful implementation of thi activity with a young audience, and therefore also think of ways to circumvent these problems. - of production). All together they will debate the stories of successes and failures associated to each project. - those who will request the youthpass will be able to complete this document with their own learnign outcomes. We will subsequently send it over to them by e-mail.",,1
41,133,One Column,"Bucharest, participants will fly to Bucharest international airport, then take a city bus or metro servi to reach the hotel in Regie district. We will refund to participants the price of their tickets (within the limits of the Erasmus + lump sums) via their organizations or individually, within four weeks from th last day of each mobility activity. Participants, or partner organizations will have to provide the coordinating organizations with bank account details for the tansfer, at least a month before the sta of the mobility activity, and via a shared google sheet document. If the travel budget allocated to ea journey will not suffice to cover travel expenses, the sending organizations will need to cover extra costs, or demand to participants a participation fee. The visit to the textile factory of Calarasi will be optional, yet strongly recommended. participants will travel to Calarasi by bus or train and will be accompanied by members of Digijeuns. Somebody from YIA will also accompany the group and le the visit once at the destination. ACCOMODATION The first mobility activity will take place in Bucharest, Romania. The hosting venue is pensiune Casa Amica. The hotel will be occupied exclusively by particiants of the training. 3 meals (breakfast, lunch and dinner) will be provided at th accomodation venue. Activities will be taking place in the Cmon management centre for Ngos venue to the cmon centre by public transport. A round trip ticket will be provided to each participan each morning by the coordinators. Participants will share 3 to 4 bed rooms. Female and male hosted in separate rooms. SAFETY AND PROTECTION OF PARTICIPANTS Digijeunes subscribes an insurance (assurance responsabilité civile + locaux occasionels d'activité) which protects all individuals taking part in activities organized by the organization, including activities carried out in the context of an Erasmus + mobility projects. Additionally, participants will be covere by the insurances of the two accomodation venues plus the C'Mon management centre in Buchare MENTORING AND SUPPORT There will be 2 facilitators from Digijeunes (plus a variable number of facilitators -depending on the specific tasks being performed at any given time- from the participating organizations) in situ for every mobility activity. Participants should not, in principle, be accompanied individually (as group work and peer to peer learning shall be priviledged). However, need be, at least one of the facilitators will be available for individual support. Some of the activities will require specific material for electronic prototyping and coding. Digijeunes will be able to provide at least one set of necessary material every 3 to 4 individuals. However, participants will be invited (but not required) to bring their own technological devices to the training, in case they were in possession of any.",,1
42,136,One Column,"Digijeunes will be in charge of project management and coordination. It will notably manage internal communication and will instruct partner organizations on the ideal profiles of participants, so that the training will meet the expectations of the facilitators and all organizations involved, and also that the outcomes of the training will meet a good level of quality. All the partners have communicated intensively in order to present this project. After its approval, the consortium’s cooperation will be formally regulated according to applicant - partner contracts. QUALITY MANAGEMENT Horizonlab will perform the function of monitoring the quality of preparation for the training delivered by Digijeunes, to ensure all participants receive sufficient information and they all start the training on equal footing. In addition, project deliverables and processes (selection of participants) will be subject to quality control activities and quality assurance activities respectively. Digijeunes will perform these activities. The deliverables that will be concerned are: the digital badges, the checked against two criteria: compliance with project proposal and coherence with project objectives. EXTERNAL COMMUNICATION Arduino Albania will be in charge of communicating about the project before and after the mobility activities are due to take place. They will publish information about the two mobility activities on social networks (ex. facebook page specifically set u for the purposes of this project). The social network will serve to facilitate communication between participants, to disseminate the project's results, to enable communication between coordinating communicaiton will consist in developing a graphic identity for the project (notably a logo) for dissemination of project results and news on social media and other communication channels.",,1
42,138,One Column,"SENDING ORGANIZATION RESPONSIBILITIES - identify and recruit participants - act as intermediary between participants and coordinating organization - produce enrollment documents to distribute to candidates participants and transfer these documents to the coordinating organization - coordinating organization - ensure participants have understood instructions relative to the preparation to the exchange - provide participants with internet access and/or computers to accomplish necessary research to prepare for the exchange - lead with participants a brainstorm on their actual educational practices on the topics of media technology - ensure participants are aware of the general objectives of Erasmus + KA1 initiatives. Explain to participants their duties and responsibilities when engaging in a youth training, details about travel to and from the training venue their local and international networks - ensure a follow-up of the training in their own countries by taking up opportunities to communicate about the results of the training and/or by relying on participants for the implementation of workshops and activities with youth on media technologies COORDINATING ORGANIZATION RESPONSABILITIES - deal with administrative matters relate to applying for Erasmus + funding - communicate with the Erasmus + National agency - covering disseminating all relevant documents. Before the training : information pack, application for enrollment in the training. After the training : final report, evaluation questionnaire, a collection of intellectual output from the training - centralization of information (photos, intellectual outputs pedagogical tools, etc. - sending the youthpass to participants - manage practical aspects of the training (accommodation, meals, training support, support participants in finding travel options, etc.) activities, participants may perform the following: a) report about their work with youngsters on digi technologies and related topics b) research about initiatives and events on digital digital DIY, e- textiles and related topics in their own regions/countries c) research about networks for digital mediation in their own local contexts. d) report on ways in which they embrace a maker mindset or constructivists approaches in their work with young people e) accomplish the technical preparation and computer programming, they will be invited to experiment prototyping with the arduino microcontroller via an on-line simulator available for free on circuits.io. Specifically, they will be delivered for free (only a free registration will be required) on instructables.com. In addition to inviti participants to take up on-line classes about electronics and computer programming, each partner organization will be invited to get hold of an Eduwear kit, and make it available to participants so th they will be ale to experiment crafting e-textiles for themselves, prior to the training. The eduwear k contains a list of material to get started with e-textile and wearable technology projects. Alongisde physical items such as textile sensors, patches, microcontrollers, conductive thread and fabric, use also find workshops ideas and step by step tutorials to reproduce certain projects. The eduwear kit maker culture more broadly. These items will be available on an on-line cloud (ex. dropbox).",,1
43,145,One Column,"Participants will be able to reach the coordinating organization either individually or via their sendin organization for any question they may have with regards the content of the training and the learnin methods. Each sending organization will provide participants with information relative to customs o the venue of the exchange, in order to ensure a rapid and smooth adaptation. The info pack will als contain more general information about : -Training venue -working languages -project's overview - which documents to store carefully and refund procedure -food -insurance -detailed activities timetable -overview of the project's activities The info pack will be delivered to participants at least month before the start of each mobility activity.",,1
45,147,One Column,"ACTIVITY 1, FRANCE 1. introduction to electronic DIY for youth work purposes. objectives: - learn the basics of electronic and computer coding for youth work purposes - discover new and innovative tools and methods taht can be integrated within youth work Participants will learn the basics of electronic prototyping via Arduino boards, which will enable them to lead electronics educational workshops with their target public, and also to mov make their projects interactive and smart. Alternatively, visual/block programming softwares will also be available such as Scratch and S4A. The hardware material that will be at the disposal will include: prototyping boards, 3D printer, sensors, servomotors, LCD displays, DC motors.",,1
45,148,One Column,"Participants will work in groups of 3 to 4 people. 2. introduction to e-textiles objective: learn about the basics of e-textiles in view of running educational activities on this topic. Participants will acquire the necesary technical/practical knowledge and confidence to lead girl-inclusive workshops in their own professional settings, on the topic of e-textiles. Arduino enables us to upgrade clothing and accessories by embedding sensors and actuators connected to the board. Smart clothing and accessories obtained by integrating technology are called e-textiles. E-textile also refer to a textile substrate that incorporates capabilities for sensing (biometric or external), communication, power transmission, and interconnection technology to allow sensors or things such as information processing devices to be networked together within a fabric. 3. e-textile projects objectives - gain a first hand experience on project-based learning, in relation with e-textiles and wearable technologies - develop one’s ideas about the obstacles and opportunities connected with e-textiles workshops in a youth work setting - understand how practical activites on e-textiles can be used in the context of youth work to boost participation of young people, especially female participants. Via this module, participants will be able to face a number of obstacles typically associate with crafting e-textile projects. They will be able to put themselves in the perspective of youth who ma engage in this type of activity, thus ponder ways of circumventing these problems and ways to assist their young audience on future e-textile youth who engage in making activities - learn about practical tools to validate the learning outcomes of youth who engage in making activities Typically, teachers and educators find it very hard to assess and evaluate making activities. For one thing, the spirit of making activities consists in unleashing one's imagination and creativity to produce whatever gadgets one feels like. The issue with project-based learning is that guidelines for making activities are kept to a minimum, so that the final creations can hardly be evaluated against a system of pre-established standards. Teachers an educators confronted with this question have come up with provisional solutions. Nonetheless, The subject is still very much up to debate ACTIVITY 2, ROMANIA 5. introduction to constructivist teaching methods objectives : -exchange on ‘tinkering’ as an emerging pedagogical approach - exchange good practices related to implementatin of constructivist methods in youtH work settings Constructivist teaching is based on the belief that learning occurs as learners are actively involved in a process of meaning and knowledge construction as opposed to passively receiving information. Learners are the makers of meaning and knowledge. Constructivist approach applies both to formal and non-formal learning contexts. 6. meeting with the actors of the maker movement in Bucharest objectives: receive inputs from agents of the maker movement and learn about their initiatives pertaining to non-formal education targeting youth and adults 7. initiatives aiming to support the integration of the maker attitud in the field of education, ran at international scale objective: get practical insights into funding opportunities to set up educational making programmes and workshops 8. maker education in practice objective: experiment digital fabrication equipment to envisage yoth work activites on this topic. Participants will explore activities ideas to implement in their own professional settings, based on digital fabrication techniques 1. DAY 2. Firstly, participants will experiment with arduino via a series of small circuits and corresponding codes that they will need to reproduce (following an indicative example). The main topics covered via this hands-on introduction include digital sensors , analog sensors, actuators. At a later stage, each group (2 to 3 people) will have to take up a series of challenges delivered by the facilitators. they will need to put the knowledge acquired previously into practice. 2. DAY 3. In this introdution to e-textiles, participants will be invited to take up one challenge that shall prepare them for the next activity. Participants will be asked to think of clever solutions to small common everyday problems that can be tackled by thinking i technological terms, specifically by applying e-textile solutions. Each group of 3 to 4 people, will need to pick a task form a pool of tasks available The task will present a situation that requires a solution. They will need to plan or, even better, produce a solution to the issue they have at hand. 3.",,1
47,151,One Column,"DAY 4, 5. Participants will be instructed that they have two days to come up with their own innovative and original e-textiles projects. They will be working in groups and rely on the techniques and tools they discovered in previous activities to craft their own gadgets. Each group will be able t employ things from a set of available items, including a variety of arduino sensors, textiles, basic sewing tools, hot glue, etc. as well an assortment o classic office equipment (scissors, pen, paper, etc.). Throughout the crafting of their creations, participants will be required to document each stage of production, via photos, videos and written reports. At the end of this module, they will be invited to upload step by step tutorials of their own creation on a DIY on-line platform. Some platforms they will be able to choose from are : instructbales.com, DIY.org, wikifab.org, thingiverse.com. 4.",,1
47,151,One Column,"DAY 6. In this module participants will be invited to debate on existing tools and techniques (ex. peer assessment, failure boxes) to asses and evaluate children's learning outcomes as a result of engaging in maker activities. They will be provided a set of promts, each promt consisting of tool/technique that is being curetnly employed. 5. DAY 2. In this module participants will debate the extent to which they adopt hands-on approach in their professional settings, their views on project based learning, and the ways in which they could integrate these methods in youth work, DAY 3. Participants will meet with the teams of Nod Makerspace and Hatch atelier, a makerspace and hackerspace respectivley, both based in Bucharest, Romania. They will learn about the intiaitives of these two places for maker and digital culture, and about the ways in which the make movement is contributing to shaping the non formal education sector in Buchreast and more geenrlaly also across Romania. Also, they will discuss solidaire programme -powered by the Orange foundation-, fabacademy -powered by the international fablab foundation-. Participants will also learn about ways in which their organizations could benefit form such programmes, and launch their own educational initiatives on making, for example by partaking in international conferences, or by using the open ressources available on-line, to implement practical workhsops targeting youth.",,1
47,153,One Column,"Additionally, participants will be taken through some of the funding opportunities for local educational programmes on making. 8. DAY 5, 6.",,1
48,154,One Column,"Participants will learn about digital fabrication workshops targeting a young audicence, and test by themselves possible pedagogical suites. It will be an opporutnity to complement the learning outcomes on e-textiles, and envisage more ambitious and richer educational workshops involving not only electronic prototyping, but also digital fabrication. At a later stage, participants will redirect their attention to the main theme of the project, and discuss different methods to build girl-inclusive maker workshops, other than the ones explored during mobility activity n°1.",,1
49,155,One Column,"COMMUNICATION and COOPERATION WITH PARTNER ORGANIZATIONS Communication throughout the life of the project will occur mainly via e-mail and skype. A few useful tools will be implemented to ensure smooth coordination and communication: - a mailing list for all staff involved in the project - a shared agenda, available on teamup.com - a dropbox or google drive will be set up to share and manage all relevant documents and files (participants enrolment documents, administrative documents, info pack, pre-training preparation and recommendations, etc.) In addition to and communicate with all project partners (and possibly also participants) simultaneously. A project management and coordination tool (Trello) wil also be set up at the outset of the cooperation. Each organization will be assigned tasks and related deadlines. All users will be able to monitor other users' achievements and performance via the platform. Digijeunes will be responsible for monitoring that the management tool is being used properly by all partner organization. All participating organizations will be in charge of reviewing participants enrollment documents in view of selecting candidates, thus ensuring diversity (in terms of backgrounds, competences), maximize the long term benefits of the training for participants, and set up a group that is representative of the local settings in each of the participating organizations countries. Communication will occur regularly, at fixed dates, in correspondence with the following project milestones: December 2017: - notification of National Agency decision - the info-pack is sent to a partner organizations February 2018: - feedback on participant recruitment process, for A1 and A2 - potential participants profiles are reviewed March 2018: - notification of selection results to prospective participants - feedback on participants preparation - feedback on participants' special needs - distribution of facilitation roles among participants From March 2018 onwards, Digijeunes will communicate directly with participants.",,1
49,156,One Column,"COMMUNICATION WITH STAKEHOLDERS Communication with Open badge Academy has already taken place via the UK based organization DigitalMe. OBA has already provided Digijeunes with an account that allows digijeunes to create badges and publish them on the platform, under the Digijeunes academy. DigitalMe has also provided Digijeunes with detailed guidelines as to how to go about producing a badge. Communication with city, and possibly the visit of the textile factory located in the area. During this training course, participants will be testing and debating a number of innovative tools in the field of e-textiles (ex. Eduwear toolkit), as well as assesment and evaluation tools conceived specifically for non formal education activites on making (ex. failure boxes). The owner of such items will be notified about any conclusion concerning these tools, reached during the training. Digijeunes is already in contact with the Dimeb (digital media in education) at the University of Bremen, to negotiate delivery of free eduwear kit samples to be employed as pedagogical supports during the training. Digijeunes is also in touch with the Laboral (centro de arte y creacion industrial), whose education department is reponsible for most of the innovative assessment techniques for making activites that we will be reviewing during our training course.",,1
50,158,More Than Two Columns,Id | Title | Activity type | Total No of Flows | Total No of Participant s | Total Budget,,All
50,159,One Column,Total No of Participant s Total No of Flows,,1
51,161,Two Columns - Base,Activity A1,,1
51,161,Two Columns - Base,,,1
51,161,Two Columns - Line Break,Mobility of youth workers - Programme Countries,,2
51,161,Two Columns - Base,,,1
51,161,Two Columns - Line Break,Training course on e-textiles,,2
53,162,One Column,Training course on e-textiles Italy France Toulouse 03-10-2018 07-10-2018 500-1999 km 2 0 2 0 0 2 5 7 275.00 EUR 2 180.00 EUR 0 550.00 EUR,,1
54,164,Two Columns - Base,Organisational Support,,1
54,164,Two Columns - Base,,,1
54,164,Two Columns - Line Break,7,,2
54,164,Two Columns - Base,,,1
54,164,Two Columns - Line Break,2,,2
54,164,Two Columns - Base,,,1
54,164,Two Columns - Line Break,66.00 EUR,,2
54,164,Two Columns - Base,,,1
54,164,Two Columns - Line Break,924.00 EUR,,2
55,165,One Column,Training course on e-textiles Romania France Toulouse 03-10-2018 07-10-2018 500-1999 km 2 0 0 0 0 2 5 7 275.00 EUR 2 180.00 EUR 0 550.00 EUR,,1
56,167,Two Columns - Base,Organisational Support,,1
56,167,Two Columns - Base,,,1
56,167,Two Columns - Line Break,7,,2
56,167,Two Columns - Base,,,1
56,167,Two Columns - Line Break,2,,2
56,167,Two Columns - Base,,,1
56,167,Two Columns - Line Break,66.00 EUR,,2
56,167,Two Columns - Base,,,1
56,167,Two Columns - Line Break,924.00 EUR,,2
57,168,One Column,Training course on e-textiles Romania France Toulouse 03-10-2018 07-10-2018 500-1999 km 2 0 1 1 0 2 5 7 275.00 EUR 2 180.00 EUR 0 550.00 EUR,,1
58,170,Two Columns - Base,Organisational Support,,1
58,170,Two Columns - Base,,,1
58,170,Two Columns - Line Break,7,,2
58,170,Two Columns - Base,,,1
58,170,Two Columns - Line Break,2,,2
58,170,Two Columns - Base,,,1
58,170,Two Columns - Line Break,66.00 EUR,,2
58,170,Two Columns - Base,,,1
58,170,Two Columns - Line Break,924.00 EUR,,2
59,171,One Column,Training course on e-textiles Greece France Toulouse 03-10-2018 07-10-2018 500-1999 km 2 0 0 0 1 2 5 7 275.00 EUR 2 180.00 EUR 0 550.00 EUR,,1
60,173,Two Columns - Base,Organisational Support,,1
60,173,Two Columns - Base,,,1
60,173,Two Columns - Line Break,7,,2
60,173,Two Columns - Base,,,1
60,173,Two Columns - Line Break,2,,2
60,173,Two Columns - Base,,,1
60,173,Two Columns - Line Break,66.00 EUR,,2
60,173,Two Columns - Base,,,1
60,173,Two Columns - Line Break,924.00 EUR,,2
61,174,One Column,Training course on e-textiles United Kingdom France Toulouse 03-10-2018 07-10-2018 500-1999 km 2 0 1 1 1 2 5 7 275.00 EUR 2 180.00 EUR 0 550.00 EUR,,1
62,176,Two Columns - Base,Organisational Support,,1
62,176,Two Columns - Base,,,1
62,176,Two Columns - Line Break,7,,2
62,176,Two Columns - Base,,,1
62,176,Two Columns - Line Break,2,,2
62,176,Two Columns - Base,,,1
62,176,Two Columns - Line Break,66.00 EUR,,2
62,176,Two Columns - Base,,,1
62,176,Two Columns - Line Break,924.00 EUR,,2
63,177,One Column,Training course on e-textiles Latvia France Toulouse 03-10-2018 07-10-2018 500-1999 km 2 0 0 0 1 2 5 7 275.00 EUR 2 180.00 EUR 0 550.00 EUR,,1
64,179,Two Columns - Base,Organisational Support,,1
64,179,Two Columns - Base,,,1
64,179,Two Columns - Line Break,7,,2
64,179,Two Columns - Base,,,1
64,179,Two Columns - Line Break,2,,2
64,179,Two Columns - Base,,,1
64,179,Two Columns - Line Break,66.00 EUR,,2
64,179,Two Columns - Base,,,1
64,179,Two Columns - Line Break,924.00 EUR,,2
65,180,One Column,Training course on e-textiles France France Toulouse 03-10-2018 08-10-2018 100-499 km 4 0 0 0 2 1 6 7 180.00 EUR 4 180.00 EUR 0 720.00 EUR,,1
66,182,Two Columns - Base,Organisational Support,,1
66,182,Two Columns - Base,,,1
66,182,Two Columns - Line Break,7,,2
66,182,Two Columns - Base,,,1
66,182,Two Columns - Line Break,4,,2
66,182,Two Columns - Base,,,1
66,182,Two Columns - Line Break,66.00 EUR,,2
66,182,Two Columns - Base,,,1
66,182,Two Columns - Line Break,1848.00 EUR,,2
66,183,More Than Two Columns,Special Needs' Support; No | No of Participants With Special Needs | Description of Cost Item | Grant Requested (EUR),,All
67,184,More Than Two Columns,Exceptional Costs; No | No of Participants (including accompanying persons) | Description of Cost Item | Grant Requested (EUR),,All
67,185,One Column,No of Participants (including accompanying persons),,1
